vehicle_year_name,vehicle_style,site_rating,vehicle_price,vehicle_mileage,vehicle_location,vehicle_ext_color,vehicle_int_color,vehicle_accident_count,vehicle_title_type,vehicle_mpg,vehicle_transmission,vehicle_fuel_type,vehicle_options_level,vehicle_engine,vehicle_drive_type,vehicle_usage_type
2009 Ford Escape,XLT 2.5L I4 Automatic FWD,Fair Price,"$6,210 ","146,115","Plano, TX",Oxford White,Tan,0 reported accidents,Clean,20 cty / 28 hwy,Automatic,Gas,Standard,2.5L Inline-4 Gas,FWD,Personal or Rental Use
2017 Nissan Pathfinder,Platinum FWD,Fair Price,"$21,832 ","82,212","Texarkana, TX",Midnight Jade Metallic,Almond,0 reported accidents,Clean,20 cty / 27 hwy,Automatic,Gas,Well Equipped,3.5L V-6 Gas,FWD,Personal or Rental Use
2019 Hyundai Tucson,SEL FWD,Fair Price,"$21,980 ","8,338","Yukon, OK",Sage Brown,Beige,0 reported accidents,Clean,22 cty / 28 hwy,Automatic,Gas,Well Equipped,2.4L Inline-4 Gas,FWD,Personal or Rental Use
2017 Toyota RAV4,Limited FWD,Fair Price,"$25,590 ","15,958","Oklahoma City, OK",Red,Beige,0 reported accidents,Clean,23 cty / 29 hwy,Automatic,Gas,Standard,2.5L Inline-4 Gas,FWD,Personal or Rental Use
2018 Chevrolet Equinox,LT with 1LT FWD,Fair Price,"$19,995 ","26,645","McKinney, TX",Nightfall Gray Metallic,Jet Black,0 reported accidents,Clean,26 cty / 32 hwy,Automatic,Gas,Minimal Options,1.5L Inline-4 Gas Turbocharged,FWD,Personal or Rental Use
2018 Acura MDX,FWD with Technology Package,Fair Price,"$29,679 ","39,161","Grand Prairie, TX",White Diamond Pearl,Black,0 reported accidents,Clean,19 cty / 27 hwy,Automatic,Gas,Standard,3.5L V-6 Gas,FWD,Personal or Rental Use
2016 Mazda CX-5,2016.5 Touring FWD Automatic,Fair Price,"$17,620 ","30,185","Yukon, OK",Jet Black Mica,Black,0 reported accidents,Clean,26 cty / 33 hwy,Automatic,Gas,Minimal Options,2.5L Inline-4 Gas,FWD,Fleet or Mixed Use
2019 Mazda CX-5,Grand Touring FWD,Fair Price,"$22,899 ","35,537","Richardson, TX",Sonic Silver Metallic,Black,0 reported accidents,Clean,25 cty / 31 hwy,Automatic,Gas,Minimal Options,2.5L Inline-4 Gas,FWD,Personal or Rental Use
2019 Hyundai Tucson,SE FWD,Fair Price,"$17,911 ","36,940","Broken Arrow, OK",Coliseum Gray,Gray,0 reported accidents,Clean,23 cty / 30 hwy,Automatic,Gas,Minimal Options,2.0L Inline-4 Gas,FWD,Personal or Rental Use
2019 Nissan Rogue,SV FWD,Fair Price,"$17,542 ","35,904","Wichita Falls, TX",Glacier White,Charcoal,0 reported accidents,Clean,26 cty / 33 hwy,Automatic,Gas,Standard,2.5L Inline-4 Gas,FWD,Personal or Rental Use
